tag_serial_number,scientific_name,sex,capture_date_time,capture_latitude,capture_longitude,capture_method,capture_depth,release_date_time,release_latitude,release_longitude,recapture_date_time,length1,length1_unit,weight,weight_unit,life_stage,wild_or_hatchery,surgery_date_time,tagging_methodology,sedative,comments,n_detect
1293314,Mustelus asterias,f,2018-07-19T07:30:00Z,NA,NA,line fishing,3-20m,2018-07-19T08:00:00Z,51.61525,3.657683333,NA,71,cm,NA,NA,unknown,wild,2018-07-19T07:45:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,UTC tag activation time 07:45,19
1293317,Mustelus asterias,f,2018-07-19T09:30:00Z,NA,NA,line fishing,3-20m,2018-07-19T10:00:00Z,51.616867,3.664883,2018-09-29,80,cm,NA,NA,unknown,wild,2018-07-19T09:48:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"UTC tag activation time 9:48
 found at the beach on 29.09.2018 at the west coast of Texel, close to Paal 11'68.
Issue with transmitter: is actually coded for ID3836",4
1293318,Mustelus asterias,f,2018-07-19T11:30:00Z,NA,NA,line fishing,3-20m,2018-07-19T12:00:00Z,51.61195,3.65025,NA,79,cm,NA,NA,unknown,wild,2018-07-19T11:32:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,UTC tag activation time 11:32,14
1293319,Mustelus asterias,f,2018-07-19T11:30:00Z,NA,NA,line fishing,3-20m,2018-07-19T12:00:00Z,51.611767,3.649833,2018-08-21,73,cm,NA,NA,unknown,wild,2018-07-19T11:48:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"UTC tag activation time 11:48, found on 51°49'32.4""N 3°53'30.4""E",7
1293297,Mustelus asterias,f,2018-08-02T09:17:00Z,51.428538,3.407481,line fishing,15,2018-08-02T09:30:00Z,51.428538,3.407481,NA,88,cm,3.3,kg,unknown,wild,NA,",",NA,UTC tag activation time 09:17,1134
1293300,Mustelus asterias,f,2018-08-02T12:00:00Z,NA,NA,line fishing,NA,2018-08-02T12:10:00Z,51.42853833,3.407481667,NA,98,cm,3,kg,unknown,wild,2018-08-02T12:05:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 12:05 UTC(not exact), position not exact",304
1293298,Mustelus asterias,f,2018-08-02T13:00:00Z,NA,NA,line fishing,NA,2018-08-02T13:20:00Z,51.42853833,3.407481667,NA,95,cm,3.8,kg,unknown,wild,2018-08-02T13:15:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 13:15 UTC(not exact), position not exact",239
1293307,Mustelus asterias,f,2018-08-02T14:00:00Z,NA,NA,line fishing,NA,2018-08-02T14:20:00Z,51.42853833,3.407481667,NA,83,cm,4.2,kg,unknown,wild,2018-08-02T14:15:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 14:15 UTC(not exact), position not exact",596
1293308,Mustelus asterias,f,2018-08-02T14:00:00Z,NA,NA,line fishing,NA,2018-08-02T14:31:00Z,51.42853833,3.407481667,NA,99,cm,3.7,kg,unknown,wild,2018-08-02T14:26:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 14:26 UTC (not exact), position not exact",2067
1293301,Mustelus asterias,f,2018-08-02T14:30:00Z,NA,NA,line fishing,NA,2018-08-02T14:50:00Z,51.42853833,3.407481667,NA,95,cm,3.3,kg,unknown,wild,2018-08-02T14:45:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 14:45 UTC(not exact), position not exact",1
1293299,Mustelus asterias,f,2018-08-02T15:30:00Z,NA,NA,line fishing,NA,2018-08-02T15:54:00Z,51.42853833,3.407481667,NA,91,cm,3.5,kg,unknown,wild,2018-08-02T15:49:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 15:49 UTC(not exact), position not exact",3520
1293309,Mustelus asterias,f,2018-08-02T16:00:00Z,NA,NA,line fishing,NA,2018-08-02T16:00:00Z,51.42853833,3.407481667,NA,92,cm,3.3,kg,unknown,wild,2018-08-02T15:55:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 15:55 UTC(not exact), position not exact",9
1293302,Mustelus asterias,f,2018-08-03T07:00:00Z,NA,NA,line fishing,NA,2018-08-03T07:33:00Z,51.42853833,3.407481667,NA,102,cm,4.6,kg,unknown,wild,2018-08-03T07:28:00Z,"abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",Tonic immobility,"tag activation time around 7:28 UTC (not exact), position not exact",77
1293303,Mustelus asterias,f,2019-07-11T00:00:00Z,51.6168,3.663183,handline,NA,2019-07-11T09:10:00Z,51.6168,3.663183,NA,93,cm,3.2,kg,mature,Wild,NA,"internal,internal",tonic immobility,UTC tag activation 08:55:45; roto 6221,2210
1293313,Mustelus asterias,f,2019-07-12T00:00:00Z,51.61913333,3.6782,handline,NA,2019-07-12T09:30:00Z,51.61913333,3.6782,NA,79,cm,1.9,kg,unknown,Wild,NA,"internal,internal",tonic immobility,UTC tag activation 11:13:00;roto 6228,455
