station_name,max_depth,min_depth,mean_depth,p_0_10m,p_10_20m,p_20_30m,p_30_40m,p_40_50m,group
ws-11,-2.10614,-1.80526,-2.4070199999999997,100,0,0,0,0,detection
ws-13,-4.36274,-1.5043799999999996,-7.521979999999999,100,0,0,0,0,detection
ws-4,-4.2123,-3.91142,-4.513179999999999,100,0,0,0,0,detection
ws-DL12,-10.723343199999999,-8.12374,-12.336059999999998,32,68,0,0,0,detection
ws-DL7,-7.724063582089552,-1.80526,-11.13254,86.56716417910447,13.432835820895523,0,0,0,detection
ws-DL9,-7.681822499999999,-1.5043799999999996,-12.03518,71.875,28.125,0,0,0,detection
ws-GVWSP,-6.117873333333332,-4.212299999999999,-7.822859999999999,100,0,0,0,0,detection
ws-OG10,-18.15213330930065,-1.80526,-24.37126,4.686373467916366,67.05118961788031,28.262436914203313,0,0,detection
ws-OGDL,-15.472291529411763,-9.32726,-20.15894,10.588235294117649,88.23529411764706,1.176470588235294,0,0,detection
ws-PVTSS,-9.628139999999998,-4.513179999999999,-16.849259999999997,66.66666666666666,33.33333333333333,0,0,0,detection
ws-SP3,-7.421686666666666,-7.2211,-7.521979999999999,100,0,0,0,0,detection
ws-TRAWL,-6.385322222222222,-2.7078999999999995,-13.840459999999998,66.66666666666666,33.33333333333333,0,0,0,detection
ws-W6,-18.714716,-4.81406,-25.87566,8,68,24,0,0,detection
ws-W7,-19.170334285714286,-17.45102,-20.45982,0,71.42857142857143,28.57142857142857,0,0,detection
ws-WN2,-14.002472307692308,-6.619339999999999,-18.65454,11.53846153846154,88.46153846153845,0,0,0,detection
ws-borssele,-24.270966666666666,-16.849259999999997,-45.13198,0,40,40,6.666666666666667,13.333333333333334,detection
ws-11,-29.09,-1.69,-17.530913380519042,10.077519379844961,57.296932928884395,32.827772160431415,0,0,depth
ws-13,-16.52,-1.82,-12.868,25.51948051948052,74.48051948051948,0,0,0,depth
ws-4,-16.48,-0.15,-6.090225913621262,77.44186046511628,22.55813953488372,0,0,0,depth
ws-DL12,-8,-2.71,-7.091214285714286,100,0,0,0,0,depth
ws-DL7,-5.93,-4.64,-5.430827922077922,100,0,0,0,0,depth
ws-DL9,-5.91,-3.89,-4.8986883116883115,100,0,0,0,0,depth
ws-GVWSP,-7.13,-4.32,-5.9866038961038965,100,0,0,0,0,depth
ws-OG10,-19.11,-0,-12.507274509803922,32,68,0,0,0,depth
ws-OGDL,-14.38,-6.69,-10.24783282777216,54.39838220424671,45.70273003033367,0,0,0,depth
ws-PVTSS,-16.54,-5.74,-13.929506493506494,17.5974025974026,82.4025974025974,0,0,0,depth
ws-SP3,-4.48,-1.88,-3.424279220779221,100,0,0,0,0,depth
ws-TRAWL,-11.1,-9.68,-10.344667774086378,21.06312292358804,79.63455149501661,0,0,0,depth
ws-W6,-25.88,-11.34,-15.29525,0,97.92207792207792,2.0779220779220777,0,0,depth
ws-W7,-16.12,-14.23,-15.009571428571428,0,100,0,0,0,depth
ws-WN2,-14.61,-12.33,-13.989512987012986,0,100,0,0,0,depth
ws-borssele,-28.58,-0,-11.983870078740157,35.43307086614173,62.44094488188976,2.1653543307086616,0,0,depth
